Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
ChatGPT GPT-5.5,what is llm?,5,236,Good,A clear and well-structured prompt that communicates its objective effectively.,12,3,1,1,3,3.0,0,0.024,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,What does AI stand for?,6,71,Good,A clear and well-structured prompt that communicates its objective effectively.,23,5,1,1,5,3.6,0,0.046,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,How do you make coffee?,6,98,Good,A clear and well-structured prompt that communicates its objective effectively.,23,5,1,1,5,3.6,0,0.196,False,False,False,False,False,True,False,False,False
ChatGPT GPT-5.5,What is 2+2?,7,7,Good,A clear and well-structured prompt that communicates its objective effectively.,12,4,1,1,3,2.0,0,0.174,False,False,False,True,False,False,False,False,False
ChatGPT GPT-5.5,Who invented the internet?,5,139,Good,A clear and well-structured prompt that communicates its objective effectively.,26,4,1,1,4,5.5,0,0.052,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,When was Python created?,5,84,Good,A clear and well-structured prompt that communicates its objective effectively.,24,4,1,1,4,5.0,0,0.048,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,What is machine learning?,5,154,Good,A clear and well-structured prompt that communicates its objective effectively.,25,4,1,1,4,5.25,0,0.05,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,How tall is Mount Everest?,6,43,Good,A clear and well-structured prompt that communicates its objective effectively.,26,5,1,1,5,4.2,0,0.202,False,False,False,False,False,True,False,False,False
ChatGPT GPT-5.5,What is the capital of France?,7,11,Good,A clear and well-structured prompt that communicates its objective effectively.,30,6,1,1,6,4.0,0,0.06,False,False,False,False,False,False,False,False,False
ChatGPT GPT-5.5,Can you count to 10?,7,31,Good,A clear and well-structured prompt that communicates its objective effectively.,20,5,1,1,5,3.0,0,0.04,False,False,False,False,False,False,False,False,False
