Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
Perplexity,what is llm?,3,80,Good,Clear and direct.,12,3,1,1,3,3.0,0,0.024,False,False,False,False,False,False,False,False,False
Perplexity,What does AI stand for?,5,60,Good,Short specific and easy to answer.,23,5,1,1,5,3.6,0,0.046,False,False,False,False,False,False,False,False,False
Perplexity,How do you make coffee?,5,90,Good,Practical and straightforward.,23,5,1,1,5,3.6,0,0.196,False,False,False,False,False,True,False,False,False
Perplexity,What is 2+2?,4,20,Good,Very simple and unambiguous.,12,4,1,1,3,2.0,0,0.174,False,False,False,True,False,False,False,False,False
Perplexity,Who invented the internet?,4,80,Good,Clear factual question.,26,4,1,1,4,5.5,0,0.052,False,False,False,False,False,False,False,False,False
Perplexity,When was Python created?,4,60,Good,Specific factual prompt.,24,4,1,1,4,5.0,0,0.048,False,False,False,False,False,False,False,False,False
Perplexity,What is machine learning?,4,90,Good,Standard clear topic question.,25,4,1,1,4,5.25,0,0.05,False,False,False,False,False,False,False,False,False
Perplexity,How tall is Mount Everest?,5,50,Good,Direct fact lookup.,26,5,1,1,5,4.2,0,0.202,False,False,False,False,False,True,False,False,False
Perplexity,What is the capital of France?,6,35,Good,Clear and concise.,30,6,1,1,6,4.0,0,0.06,False,False,False,False,False,False,False,False,False
Perplexity,Can you count to 10?,5,25,Good,Simple and answerable.,20,5,1,1,5,3.0,0,0.04,False,False,False,False,False,False,False,False,False
Perplexity,what is thee diffrence between AI and ML?,8,120,Average,Understandable but has typos.,41,8,1,1,8,4.12,0,0.082,False,False,False,False,False,False,False,False,False
Perplexity,Explaine to me hoergw neural netwroks work,8,140,Average,Clear intent but heavily misspelled.,42,7,1,1,7,5.14,0,0.084,False,False,False,False,False,False,False,False,False
Perplexity,I want to lern about cogegumputer vison,7,120,Average,Intended meaning is clear but typo heavy.,39,7,1,1,7,4.71,0,0.078,False,False,False,False,False,False,False,False,False
Perplexity,How do yo train a modhesrell?,7,120,Average,Likely means model training but unclear wording.,29,6,1,1,6,3.83,0,0.208,False,False,False,False,False,True,False,False,False
Perplexity,What is the difshrfernce between supervized and unsupervised lerning?,10,150,Average,Good topic but spelling is noisy.,69,9,1,1,9,6.67,0,0.138,False,False,False,False,False,False,False,False,False
Perplexity,Can u help me undhesherstnd algoritms?,7,100,Average,Clear intent informal and misspelled.,38,6,1,1,6,5.33,0,0.076,False,False,False,False,False,False,False,False,False
Perplexity,Wht is deeplearnsehing?,4,90,Average,Short and understandable despite typos.,23,3,1,1,3,6.67,0,0.046,False,False,False,False,False,False,False,False,False
Perplexity,Explan NLP in simphsele termms,6,110,Average,Simple intent but misspelled.,30,5,1,1,5,5.2,0,0.06,False,False,False,False,False,False,False,False,False
Perplexity,How do transformshrers work?,5,120,Average,Clear topic typo noise only.,28,4,1,1,4,6.0,0,0.206,False,False,False,False,False,True,False,False,False
