source_file,model,prompt_raw,prompt_key,input_tokens,output_tokens,quality,feedback,row_ok,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
dataset1_features.csv,Groq-llama-3.3-70b-versatile,COLLECTION OF 200 TEST PROMPTS FOR LLM TESTING,collection of 200 test prompts for llm testing,53,2767,Bad,"The prompt is overly vague and burns tokens on unnecessary context, lacking specificity on what kind of testing or information is needed from the LLM.",True,46,8,1,1,8,4.88,0,0.092,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,1. what is llm?,what is llm?,48,332,Good,"The prompt is concise and directly asks for the definition of a specific term, making efficient use of tokens.",True,15,4,1,2,4,2.5,0,0.03,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,2. What does AI stand for?,what does ai stand for?,49,7,Good,"The prompt is concise and directly asks for a specific piece of information, making efficient use of tokens.",True,26,6,1,2,6,3.17,0,0.052,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,3. How do you make coffee?,how do you make coffee?,49,493,Average,"The prompt is understandable but lacks specificity, potentially leading to a longer response as it doesn't clarify the type of coffee or brewing method desired.",True,26,6,1,2,6,3.17,0,0.202,False,False,False,False,False,True,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,4. What is 2+2?,what is 2+2?,50,12,Good,"The prompt is clear, concise, and directly asks for the needed information with minimal tokens.",True,15,5,1,2,4,1.8,0,0.18,False,False,False,True,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,5. Who invented the internet?,who invented the internet?,48,335,Good,"This prompt is concise and directly asks for the needed information, making efficient use of tokens.",True,29,5,1,2,5,4.6,0,0.058,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,6. When was Python created?,when was python created?,48,98,Good,"The prompt is clear, concise, and directly asks for a specific piece of information, making efficient use of tokens.",True,27,5,1,2,5,4.2,0,0.054,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,7. What is machine learning?,what is machine learning?,48,404,Good,"This prompt is concise and directly asks for a definition, making efficient use of tokens to elicit a clear and relevant response.",True,28,5,1,2,5,4.4,0,0.056,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,8. How tall is Mount Everest?,how tall is mount everest?,49,56,Good,"The prompt is concise and directly asks for a specific piece of information, making efficient use of tokens.",True,29,6,1,2,6,3.67,0,0.208,False,False,False,False,False,True,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,9. What is the capital of France?,what is the capital of france?,50,8,Good,"The prompt is clear, concise, and directly asks for the needed information with minimal tokens.",True,33,7,1,2,7,3.57,0,0.066,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,10. Can you count to 10?,can you count to 10?,50,59,Good,"The prompt is concise and directly asks for the desired action, using minimal tokens to convey the request.",True,24,6,1,2,5,2.83,0,0.048,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,11. what is thee diffrence between AI and ML?,what is thee diffrence between ai and ml?,53,510,Bad,"The prompt is unclear and contains unnecessary characters, such as ""thee"" instead of ""the"", and a typographical error in ""diffrence"" instead of ""difference"", wasting tokens on incorrect spelling.",True,45,9,1,2,9,3.89,0,0.09,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,12. Explaine to me hoergw neural netwroks work,explaine to me hoergw neural netwroks work,56,766,Bad,"The prompt is unclear and contains multiple typos, wasting tokens on incorrect spelling instead of providing a clear and concise question about neural networks.",True,46,8,1,2,8,4.75,0,0.092,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,13. I want to lern about cogegumputer vison,i want to lern about cogegumputer vison,55,564,Bad,"The prompt is unclear and contains multiple typos, wasting tokens on incorrect spelling instead of providing a clear and specific request for information on computer vision.",True,43,8,1,2,8,4.38,0,0.086,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,14. How do yo train a modhesrell?,how do yo train a modhesrell?,52,446,Bad,"The prompt is unclear and contains typos, such as ""modhesrell"" and ""yo"", which wastes tokens and requires additional processing to understand the intended question.",True,33,7,1,2,7,3.57,0,0.216,False,False,False,False,False,True,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,15. What is the difshrfernce between supervized and unsupervised lerning?,what is the difshrfernce between supervized and unsupervised lerning?,61,363,Bad,"The prompt is unclear due to spelling errors and lacks proper formatting, wasting tokens on unnecessary numbers and unclear terminology.",True,73,10,1,2,10,6.2,0,0.146,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,16. Can u help me undhesherstnd algoritms?,can u help me undhesherstnd algoritms?,56,192,Bad,"The prompt is unclear and contains spelling errors, wasting tokens on informal language and lacking specificity about which algorithms need to be understood.",True,42,7,1,2,7,4.86,0,0.084,False,False,False,False,False,False,False,False,False
dataset1_features.csv,Groq-llama-3.3-70b-versatile,17. Wht is deeplearnsehing?,wht is deeplearnsehing?,53,434,Bad,"The prompt is unclear and contains typos, wasting tokens on incorrect spelling instead of providing a clear and concise question.",True,27,4,1,2,4,5.5,0,0.054,False,False,False,False,False,False,False,False,False
